  130.00M!dsun!n L=  6.306L!dsun!n T!deff!n= 55266.0
 201          x   
 -1.6432E-01 -1.7164E-01 -1.7903E-01 -1.8651E-01 -1.9408E-01 -2.0173E-01
 -2.0948E-01 -2.1732E-01 -2.2527E-01 -2.3332E-01 -2.4149E-01 -2.4976E-01
 -2.5816E-01 -2.6667E-01 -2.7532E-01 -2.8410E-01 -2.9301E-01 -3.0207E-01
 -3.1128E-01 -3.2065E-01 -3.3018E-01 -3.3987E-01 -3.4974E-01 -3.5980E-01
 -3.7004E-01 -3.8048E-01 -3.9113E-01 -4.0200E-01 -4.1309E-01 -4.2442E-01
 -4.3600E-01 -4.4784E-01 -4.5995E-01 -4.7234E-01 -4.8504E-01 -4.9805E-01
 -5.1139E-01 -5.2508E-01 -5.3915E-01 -5.5360E-01 -5.6847E-01 -5.8378E-01
 -5.9956E-01 -6.1583E-01 -6.3264E-01 -6.5001E-01 -6.6799E-01 -6.8663E-01
 -7.0597E-01 -7.2607E-01 -7.4700E-01 -7.6882E-01 -7.9163E-01 -8.1551E-01
 -8.4059E-01 -8.6698E-01 -8.9483E-01 -9.2434E-01 -9.5570E-01 -9.8920E-01
 -1.0251E+00 -1.0639E+00 -1.1061E+00 -1.1524E+00 -1.2036E+00 -1.2608E+00
 -1.3249E+00 -1.3990E+00 -1.4814E+00 -1.5715E+00 -1.6681E+00 -1.7698E+00
 -1.8746E+00 -1.9809E+00 -2.0870E+00 -2.1921E+00 -2.2960E+00 -2.3988E+00
 -2.5005E+00 -2.6013E+00 -2.7010E+00 -2.8000E+00 -2.8981E+00 -2.9955E+00
 -3.0922E+00 -3.1883E+00 -3.2838E+00 -3.3788E+00 -3.4733E+00 -3.5673E+00
 -3.6610E+00 -3.7543E+00 -3.8472E+00 -3.9399E+00 -4.0323E+00 -4.1245E+00
 -4.2164E+00 -4.3082E+00 -4.3998E+00 -4.4913E+00 -4.5826E+00 -4.6739E+00
 -4.7650E+00 -4.8561E+00 -4.9471E+00 -5.0381E+00 -5.1290E+00 -5.2199E+00
 -5.3109E+00 -5.4018E+00 -5.4928E+00 -5.5839E+00 -5.6751E+00 -5.7663E+00
 -5.8578E+00 -5.9494E+00 -6.0414E+00 -6.1336E+00 -6.2263E+00 -6.3194E+00
 -6.4131E+00 -6.5074E+00 -6.6022E+00 -6.6976E+00 -6.7933E+00 -6.8891E+00
 -6.9846E+00 -7.0794E+00 -7.1727E+00 -7.2640E+00 -7.3528E+00 -7.4391E+00
 -7.5230E+00 -7.6051E+00 -7.6860E+00 -7.7664E+00 -7.8471E+00 -7.9285E+00
 -8.0110E+00 -8.0947E+00 -8.1798E+00 -8.2661E+00 -8.3532E+00 -8.4407E+00
 -8.5279E+00 -8.6140E+00 -8.6982E+00 -8.7799E+00 -8.8587E+00 -8.9347E+00
 -9.0087E+00 -9.0817E+00 -9.1551E+00 -9.2300E+00 -9.3068E+00 -9.3857E+00
 -9.4663E+00 -9.5477E+00 -9.6290E+00 -9.7091E+00 -9.7869E+00 -9.8612E+00
 -9.9311E+00 -9.9959E+00
 201          1-q 
  2.1903E-03  4.4140E-03  6.6718E-03  8.9644E-03  1.1292E-02  1.3657E-02
