1
 OUTPUT FROM NONPUL:
  INITIAL MODEL IN HYDROSTATIC AND THERMAL BALANCE

  ZAMS 130 Msun to test the complete integrator                                      200 ZONES

     TOTAL LUMINOSITY= 7.7397E+39 TOTAL MASS= 2.5883E+35 EFFECTIVE TEMP.= 5.5266E+04
       PHOTOSPHERIC RADIUS= 1.0791E+12 CORE RADIUS= 6.2950E+10 CORE LUM.= 7.2700E+38
 IRAD= 1 NOBURN= 0 ONEMQ0= 1.000E+00 ONEMQ1= 1.000E+00 RLUMS= 7.740E+39 RLUMC= 7.740E+33
           IOUT= 0 IHMIN=  0 IHMAX=  0
   I   RADIUS     TEMP     SP.VOL   PRESSURE     G1       G3M1     OPACITY   DLKDLR    DLKDLT      CV       FRFT    INT.MASS
   43 2.737E+11 3.227E+07 1.620E+00 5.385E+15 1.424E+00 3.693E-01 3.357E-01 3.425E-03-1.622E-02 1.847E+09 3.654E-01 7.169E+34
   44 2.772E+11 3.206E+07 1.649E+00 5.249E+15 1.424E+00 3.694E-01 3.357E-01 3.468E-03-1.636E-02 1.844E+09 3.754E-01 7.372E+34
   45 2.807E+11 3.184E+07 1.680E+00 5.114E+15 1.424E+00 3.695E-01 3.357E-01 3.511E-03-1.650E-02 1.841E+09 3.855E-01 7.576E+34
   46 2.842E+11 3.163E+07 1.711E+00 4.980E+15 1.424E+00 3.695E-01 3.357E-01 3.555E-03-1.664E-02 1.838E+09 3.956E-01 7.783E+34
   47 2.878E+11 3.141E+07 1.744E+00 4.849E+15 1.425E+00 3.696E-01 3.357E-01 3.599E-03-1.679E-02 1.834E+09 4.058E-01 7.992E+34
   48 2.913E+11 3.119E+07 1.777E+00 4.719E+15 1.425E+00 3.697E-01 3.357E-01 3.644E-03-1.694E-02 1.831E+09 4.161E-01 8.203E+34
   49 2.949E+11 3.097E+07 1.812E+00 4.591E+15 1.425E+00 3.697E-01 3.358E-01 3.690E-03-1.709E-02 1.827E+09 4.265E-01 8.416E+34
   50 2.985E+11 3.074E+07 1.848E+00 4.464E+15 1.425E+00 3.698E-01 3.358E-01 3.736E-03-1.725E-02 1.824E+09 4.370E-01 8.631E+34
   51 3.021E+11 3.052E+07 1.885E+00 4.339E+15 1.425E+00 3.699E-01 3.358E-01 3.784E-03-1.741E-02 1.820E+09 4.475E-01 8.849E+34
   52 3.058E+11 3.029E+07 1.924E+00 4.216E+15 1.425E+00 3.699E-01 3.358E-01 3.832E-03-1.757E-02 1.817E+09 4.582E-01 9.068E+34
   53 3.094E+11 3.006E+07 1.963E+00 4.095E+15 1.425E+00 3.700E-01 3.358E-01 3.881E-03-1.774E-02 1.813E+09 4.689E-01 9.290E+34
   54 3.131E+11 2.983E+07 2.005E+00 3.975E+15 1.425E+00 3.701E-01 3.359E-01 3.931E-03-1.792E-02 1.810E+09 4.796E-01 9.514E+34
   55 3.168E+11 2.960E+07 2.048E+00 3.856E+15 1.426E+00 3.702E-01 3.359E-01 3.982E-03-1.810E-02 1.806E+09 5.647E-02 9.740E+34
   56 3.206E+11 2.936E+07 2.092E+00 3.739E+15 1.426E+00 3.702E-01 3.359E-01 4.034E-03-1.828E-02 1.802E+09 5.014E-01 9.969E+34
