
     FNPOL  3.000 RADIUS=   5.604624E+00
1 polytropic model in hydrostatic balance


 fnpol=  3.00 guess for surface radius= 5.604E+00 alpha= 1.784E-01
   lambda= 1.565E-02 rhobar= 2.387E-01 totmas= 1.000E+00 int. mass= 1.206E+00 diff.=-2.065E-01
  rz0= 1.684E-03 p0= 2.450E-05 rho0= 1.565E-02
 max. g in zone  273 radius = 9.192E-01 mass =  9.516E-01
 Asymptotic frequency for p modes is  0.0000E+00
   Eotvos parameters are   1.000E+00  1.000
   i     xi       theta     dthdr    radius      p        rho        g         rm       dm1       rzone
  117 2.189E+00 1.635E+00 6.529E+00 3.939E-01 1.790E-04 6.954E-02 4.914E-02 1.178E-02 4.605E-04 3.956E-01
  118 2.208E+00 1.644E+00 6.826E+00 3.973E-01 1.828E-04 7.065E-02 5.049E-02 1.223E-02 4.759E-04 3.990E-01
  119 2.227E+00 1.653E+00 7.134E+00 4.007E-01 1.867E-04 7.178E-02 5.187E-02 1.269E-02 4.917E-04 4.024E-01
  120 2.246E+00 1.661E+00 7.454E+00 4.040E-01 1.907E-04 7.294E-02 5.328E-02 1.316E-02 5.080E-04 4.057E-01
  121 2.264E+00 1.670E+00 7.786E+00 4.074E-01 1.948E-04 7.411E-02 5.472E-02 1.365E-02 5.248E-04 4.091E-01
  122 2.283E+00 1.679E+00 8.130E+00 4.108E-01 1.990E-04 7.531E-02 5.620E-02 1.416E-02 5.421E-04 4.125E-01
  123 2.302E+00 1.688E+00 8.487E+00 4.141E-01 2.033E-04 7.653E-02 5.770E-02 1.468E-02 5.599E-04 4.158E-01
  124 2.321E+00 1.697E+00 8.858E+00 4.175E-01 2.078E-04 7.777E-02 5.923E-02 1.522E-02 5.783E-04 4.192E-01
  125 2.340E+00 1.706E+00 9.242E+00 4.209E-01 2.123E-04 7.904E-02 6.080E-02 1.578E-02 5.972E-04 4.226E-01
  126 2.359E+00 1.716E+00 9.640E+00 4.242E-01 2.169E-04 8.034E-02 6.240E-02 1.636E-02 6.166E-04 4.259E-01
  127 2.378E+00 1.725E+00 1.005E+01 4.276E-01 2.217E-04 8.165E-02 6.404E-02 1.695E-02 6.367E-04 4.293E-01
  128 2.397E+00 1.734E+00 1.048E+01 4.310E-01 2.266E-04 8.300E-02 6.571E-02 1.756E-02 6.574E-04 4.327E-01
  129 2.415E+00 1.744E+00 1.092E+01 4.343E-01 2.316E-04 8.437E-02 6.741E-02 1.819E-02 6.787E-04 4.360E-01
  130 2.434E+00 1.753E+00 1.138E+01 4.377E-01 2.367E-04 8.576E-02 6.915E-02 1.885E-02 7.006E-04 4.394E-01
  131 2.453E+00 1.763E+00 1.186E+01 4.411E-01 2.419E-04 8.719E-02 7.093E-02 1.952E-02 7.232E-04 4.428E-01
  132 2.472E+00 1.773E+00 1.235E+01 4.444E-01 2.473E-04 8.864E-02 7.274E-02 2.021E-02 7.464E-04 4.461E-01
